,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1449940,25-1000,1,1,4,2,52,1,1,1,0,6,491     ,49,85000,6,501,2447.1,0,1,1,1,1,128.0,141.0
1449941,25-1000,1,1,4,0,21,1,6,1,0,6,23      ,23,30000,3,501,2447.1,0,1,1,1,1,128.0,175.0
1449942,25-1000,1,1,4,0,18,1,6,1,0,6,722Z    ,72,16000,2,501,2447.1,0,1,1,1,1,128.0,118.0
1449954,25-703,1,1,4,2,45,2,1,1,0,11,51913   ,51,87000,6,501,2195.3,0,1,1,1,1,69.0,69.0
1449955,25-703,1,1,4,2,45,1,1,1,0,10,337     ,33,120000,7,501,2195.3,0,1,1,1,1,69.0,71.0
1449956,25-703,1,1,4,0,13,2,6,1,0,2,       0,0,9999999,9,501,2195.3,0,1,1,1,1,69.0,75.0
1449957,25-703,1,1,4,0,11,2,6,1,0,2,       0,0,9999999,9,501,2195.3,0,1,1,1,1,69.0,75.0
1449986,25-1300,1,1,3,0,56,1,1,1,0,10,23      ,23,59000,5,501,1457.2,0,1,1,1,1,83.0,83.0
1449987,25-1300,1,1,3,0,56,2,1,1,0,8,622M    ,62,50000,5,501,1457.2,0,1,1,2,1,83.0,78.0
1449988,25-1300,1,1,3,0,2,1,6,1,0,0,       0,0,9999999,9,501,1457.2,0,0,0,1,1,83.0,80.0
1450024,25-1300,1,1,2,0,75,2,1,1,0,6,812112  ,81,22000,3,431,1457.2,0,1,1,1,1,120.0,120.0
1450025,25-1300,1,1,2,0,68,1,1,1,0,6,923     ,92,44000,4,431,1457.2,0,1,1,1,1,120.0,135.0
1450030,25-1000,1,1,3,1,75,1,1,1,0,6,       0,0,107000,7,501,2447.1,0,1,1,1,1,46.0,46.0
1450031,25-1000,1,1,3,1,73,2,1,1,0,6,       0,0,28000,3,501,2447.1,0,1,1,1,1,46.0,48.0
1450032,25-1000,1,1,3,0,47,1,6,1,0,6,4452    ,44,35000,4,501,2447.1,0,1,1,1,1,46.0,64.0
1450055,25-503,1,1,3,1,48,2,1,1,0,10,5415    ,54,80000,6,501,2872.7,0,1,1,1,1,96.0,96.0
1450056,25-503,1,1,3,1,53,1,1,1,0,11,5241    ,52,250000,8,501,2872.7,0,1,1,1,1,96.0,95.0
1450057,25-503,1,1,3,0,17,2,6,1,0,5,713Z    ,71,2000,1,501,2872.7,0,1,1,1,1,96.0,98.0
1450058,25-2800,1,1,4,2,53,2,1,1,0,8,5241    ,52,65020,6,501,3683.9,0,1,1,1,1,62.0,63.0
1450059,25-2800,1,1,4,2,54,1,1,1,0,6,23      ,23,75000,6,501,3683.9,0,1,1,1,1,62.0,69.0
1450060,25-2800,1,1,4,0,23,1,6,1,0,6,23      ,23,50000,5,501,3683.9,0,1,1,1,1,62.0,61.0
1450061,25-2800,1,1,4,0,20,1,6,1,0,6,713Z    ,71,15000,2,501,3683.9,0,1,1,1,1,62.0,62.0
1450091,25-703,1,2,1,0,23,1,6,1,0,10,622M    ,62,13000,2,99,2195.3,0,1,1,1,1,116.0,116.0
1450092,25-703,1,2,1,0,21,2,6,1,0,6,712     ,71,1100,1,8,2195.3,0,1,1,1,1,116.0,128.0
1450093,25-703,1,2,1,0,21,2,6,1,0,10,622M    ,62,11000,2,84,2195.3,0,1,1,1,1,116.0,127.0
1450094,25-2800,1,1,2,1,58,2,4,1,0,3,23      ,23,58000,5,501,3683.9,0,1,1,1,1,99.0,100.0
1450095,25-2800,1,1,2,0,28,1,6,1,0,6,23      ,23,67000,6,501,3683.9,0,1,1,1,1,99.0,116.0
1450107,25-703,1,2,2,1,29,2,6,1,0,6,722Z    ,72,7400,1,42,2195.3,0,2,1,2,1,80.0,81.0
1450108,25-703,1,2,2,0,3,2,6,1,0,0,       0,0,9999999,9,42,2195.3,0,0,0,1,1,80.0,79.0
1450109,25-703,1,1,2,0,74,1,1,1,0,10,611M1   ,61,278500,8,501,2195.3,0,1,1,1,1,48.0,49.0
1450110,25-703,1,1,2,0,66,2,1,1,0,8,       0,0,43400,4,501,2195.3,0,1,1,1,1,48.0,53.0
1450115,25-1300,1,1,4,2,49,2,1,1,0,10,6111    ,61,21000,3,483,1457.2,0,1,1,1,1,155.0,155.0
1450116,25-1300,1,1,4,2,50,1,1,1,0,11,623M    ,62,100000,7,483,1457.2,0,1,1,1,1,155.0,172.0
1450117,25-1300,1,1,4,0,18,2,6,1,0,6,6244    ,62,5400,1,483,1457.2,0,1,1,1,1,155.0,247.0
