,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1732401,30-600,1,1,4,0,2,1,6,1,0,0,       0,0,9999999,9,501,16.3,0,0,0,1,1,309.0,284.0
1732415,30-600,1,1,2,0,61,2,1,1,0,6,92M1    ,92,58000,6,501,16.3,0,1,1,1,1,14.0,14.0
1732416,30-600,1,1,2,0,66,1,1,1,0,6,622M    ,62,60400,6,501,16.3,0,1,1,1,2,14.0,20.0
1732417,30-600,1,1,2,0,59,1,1,1,0,11,611M1   ,61,88000,7,501,16.3,0,1,1,1,1,55.0,55.0
1732418,30-600,1,1,2,0,50,2,1,1,0,11,6111    ,61,44000,5,501,16.3,0,1,1,1,1,55.0,40.0
1732419,30-600,1,1,2,0,55,2,1,1,0,8,52M1    ,52,54000,6,501,16.3,0,2,2,1,1,787.0,787.0
1732420,30-600,1,1,2,0,54,1,1,1,0,10,3231    ,32,49000,6,501,16.3,0,1,1,1,1,787.0,785.0
1732422,30-600,1,1,1,0,62,2,5,1,0,8,6111    ,61,20000,3,150,16.3,0,1,1,1,1,59.0,59.0
1732428,30-600,1,1,2,0,47,1,1,1,0,11,6212    ,62,402000,8,501,16.3,1,1,1,1,1,397.0,397.0
1732429,30-600,1,1,2,0,48,2,1,1,0,11,6212    ,62,25000,4,501,16.3,0,1,1,1,1,397.0,427.0
1732452,30-600,1,1,2,0,70,2,1,1,0,10,517311  ,51,36000,5,492,16.3,0,1,1,1,1,26.0,26.0
1732453,30-600,1,1,2,0,75,1,1,1,0,6,       0,0,39900,5,492,16.3,0,1,2,1,1,26.0,43.0
1732456,30-600,1,1,1,0,66,1,6,1,0,8,       0,0,33900,4,277,16.3,1,1,1,1,1,128.0,128.0
1732457,30-600,1,1,3,1,65,2,4,1,0,10,       0,0,191700,8,501,16.3,0,1,1,1,1,24.0,24.0
1732458,30-600,1,1,3,1,70,1,4,1,0,7,112     ,11,135000,8,501,16.3,0,1,1,2,1,24.0,45.0
1732459,30-600,1,1,3,0,31,1,6,1,0,6,112     ,11,23000,3,501,16.3,0,1,1,1,1,24.0,166.0
1732477,30-600,1,1,1,0,59,1,5,1,0,6,4245    ,42,50000,6,381,16.3,0,1,1,1,1,13.0,13.0
1732483,30-600,1,2,2,0,68,1,1,1,0,7,       0,0,40200,5,316,16.3,5,1,2,1,1,514.0,514.0
1732484,30-600,1,2,2,0,50,2,1,1,0,7,       0,0,8100,1,316,16.3,0,2,2,1,1,514.0,382.0
